r[Å]	Lagrange	Neville	greska	Spline	Neville-Spline
2.810000	238.319786	238.319786	-0.001100	238.188857	0.130929
2.910000	167.096585	167.096585	-0.000004	167.096484	0.000102
3.010000	115.111978	115.111978	0.000477	114.978511	0.133467
3.110000	77.481815	77.481815	0.000245	77.383292	0.098523
3.210000	50.501941	50.501941	-0.000098	50.505762	-0.003822
3.310000	31.375359	31.375359	-0.000172	31.325226	0.050133
3.410000	17.998457	17.998457	-0.000043	17.985891	0.012566
3.510000	8.797430	8.797430	0.000067	8.782004	0.015426
3.610000	2.603159	2.603159	0.000061	2.574336	0.028823
3.710000	-1.445962	-1.445962	-0.000003	-1.445234	-0.000728
3.810000	-3.980272	-3.980272	-0.000037	-3.989638	0.009367
3.910000	-5.458183	-5.458183	-0.000020	-5.465293	0.007110
4.010000	-6.211281	-6.211281	0.000012	-6.211822	0.000541
4.110000	-6.477779	-6.477779	0.000020	-6.483721	0.005942
4.210000	-6.427126	-6.427126	0.000005	-6.428259	0.001133
4.310000	-6.178271	-6.178271	-0.000011	-6.179209	0.000939
4.410000	-5.813465	-5.813465	-0.000010	-5.815413	0.001948
4.510000	-5.388705	-5.388705	0.000001	-5.388620	-0.000085
4.610000	-4.941465	-4.941465	0.000009	-4.942221	0.000757
4.710000	-4.496229	-4.496229	0.000005	-4.496712	0.000483
4.810000	-4.068346	-4.068346	-0.000004	-4.068357	0.000011
4.910000	-3.666743	-3.666743	-0.000006	-3.667069	0.000327
5.010000	-3.295909	-3.295909	-0.000001	-3.295960	0.000050
5.110000	-2.957401	-2.957401	0.000005	-2.957398	-0.000003
5.210000	-2.650946	-2.650946	0.000005	-2.650990	0.000044
5.310000	-2.375202	-2.375202	-0.000001	-2.375198	-0.000004
5.410000	-2.128220	-2.128220	-0.000005	-2.128236	0.000016
5.510000	-1.907724	-1.907724	-0.000003	-1.907739	0.000015
5.610000	-1.711289	-1.711289	0.000003	-1.711265	-0.000024
5.710000	-1.536494	-1.536494	0.000006	-1.536456	-0.000038
5.810000	-1.381035	-1.381035	0.000001	-1.381033	-0.000002
5.910000	-1.242792	-1.242792	-0.000006	-1.242781	-0.000012
6.010000	-1.119848	-1.119848	-0.000005	-1.119837	-0.000010
6.110000	-1.010467	-1.010467	0.000002	-1.010463	-0.000004
6.210000	-0.913085	-0.913085	0.000009	-0.913057	-0.000028
6.310000	-0.826302	-0.826302	0.000004	-0.826291	-0.000011
6.410000	-0.748879	-0.748879	-0.000007	-0.748880	0.000001
6.510000	-0.679727	-0.679727	-0.000012	-0.679727	-0.000000
6.610000	-0.617881	-0.617881	-0.000001	-0.617881	0.000001
6.710000	-0.562470	-0.562470	0.000017	-0.562440	-0.000030
6.810000	-0.512731	-0.512731	0.000017	-0.512703	-0.000028
6.910000	-0.468016	-0.468016	-0.000010	-0.468028	0.000012
7.010000	-0.427799	-0.427799	-0.000037	-0.427834	0.000035
7.110000	-0.391620	-0.391620	-0.000019	-0.391638	0.000018
7.210000	-0.359020	-0.359020	0.000044	-0.358972	-0.000048
7.310000	-0.329533	-0.329533	0.000076	-0.329454	-0.000079
7.410000	-0.302756	-0.302756	-0.000002	-0.302758	0.000002
7.510000	-0.278443	-0.278443	-0.000146	-0.278567	0.000124
7.610000	-0.256484	-0.256484	-0.000150	-0.256604	0.000121
7.710000	-0.236709	-0.236709	0.000134	-0.236604	-0.000105
7.810000	-0.218688	-0.218688	0.000461	-0.218351	-0.000337
7.910000	-0.201851	-0.201851	0.000222	-0.201700	-0.000150
8.010000	-0.186020	-0.186020	-0.000793	-0.186516	0.000496
8.110000	-0.171847	-0.171847	-0.001447	-0.172686	0.000840
8.210000	-0.160241	-0.160241	0.000237	-0.160113	-0.000128
8.310000	-0.150691	-0.150691	0.004005	-0.148680	-0.002012
8.410000	-0.140240	-0.140240	0.004329	-0.138214	-0.002027
8.510000	-0.126022	-0.126022	-0.005763	-0.128532	0.002510
8.610000	-0.111325	-0.111325	-0.020249	-0.119543	0.008218
8.710000	-0.107801	-0.107801	-0.009155	-0.111256	0.003455
8.810000	-0.122398	-0.122398	0.053458	-0.103681	-0.018717
8.910000	-0.131317	-0.131317	0.106678	-0.096759	-0.034557
9.010000	-0.078445	-0.078445	-0.040020	-0.090400	0.011955
9.110000	0.044923	0.044923	-0.471626	-0.084519	0.129442
9.210000	0.062242	0.062242	-0.562739	-0.079049	0.141291
9.310000	-0.342600	-0.342600	1.175570	-0.073929	-0.268672
9.410000	-1.022004	-1.022004	4.607185	-0.069145	-0.952858
9.510000	-0.426359	-0.426359	1.945634	-0.064737	-0.361622
9.610000	3.598657	3.598657	-22.092984	-0.060729	3.659386
9.710000	7.787266	7.787266	-53.691954	-0.057060	7.844326
9.810000	-5.400881	-5.400881	42.032486	-0.053636	-5.347245
